"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"DES","Cancer_vs_Healthy",-0.406854253257368,0.50789594472877,0.645049280014176,0.75908988371896
"NAPA","Cancer_vs_Healthy",0.32225434529618,0.0283774750973495,0.0962436056822782,0.317295614138088
"HSPE1","Cancer_vs_Healthy",-0.0553711823010161,0.735867765122537,0.814324254786337,0.983160781855121
"ADPRHL1","Cancer_vs_Healthy",-1.03214084836899,0.00105743983719448,0.0119158036539204,0.000848423560568332
"NDUFA9","Cancer_vs_Healthy",-0.265988824238732,0.276511129451377,0.431802075044693,0.710398106472218
"PACSIN3","Cancer_vs_Healthy",-0.324008989195502,0.081452680389643,0.195417850129595,0.443734864834602
"COASY","Cancer_vs_Healthy",0.213240689357647,0.280433079060132,0.434265501206945,0.762526123056703
"NDUFA10","Cancer_vs_Healthy",-0.256854792703137,0.239060117092142,0.394015579711073,0.692415174749908
"CCT3","Cancer_vs_Healthy",0.131906239093738,0.283872056671659,0.437901289215474,0.846961101254231
"MGST3","Cancer_vs_Healthy",-0.228378025737044,0.219456811662608,0.371430782800832,0.70725919094833
"MYH9","Cancer_vs_Healthy",0.861656391892531,0.00283121406132648,0.0221045035562383,0.00637493844835216
"CACNA2D1","Cancer_vs_Healthy",-0.39964139118301,0.0226048386988326,0.082637884269518,0.219923056560683
"LTA4H","Cancer_vs_Healthy",0.181625618453079,0.082738051872286,0.196830282768657,0.635956710254005
"AK3","Cancer_vs_Healthy",-0.284336098827037,0.278242590737013,0.43198462830092,0.695071651580748
"HNRNPK","Cancer_vs_Healthy",0.521441957934687,0.00439867027416172,0.0290988956598391,0.0590376281026304
"MYOT","Cancer_vs_Healthy",-0.430344852773111,0.268531058520745,0.426251014448222,0.567898514166754
"CSRP1","Cancer_vs_Healthy",1.70543948776047,3.11290867122362e-06,0.0004156168837555,4.05908822230511e-10
"RNPEP","Cancer_vs_Healthy",0.0355864866738678,0.843956644971465,0.895263260392637,0.993980793150551
"GYS1","Cancer_vs_Healthy",-0.565411868390097,0.0353933677305493,0.11100714977999,0.151197013783088
"NDUFA5","Cancer_vs_Healthy",-0.225675947408369,0.3264907987593,0.480697865588279,0.776769858939472
"IMMT","Cancer_vs_Healthy",-0.404788529844929,0.0778778354555833,0.19038561195639,0.355841872676094
"SMTNL1","Cancer_vs_Healthy",-1.13479999849035,0.00066719670675222,0.00897547301597407,0.000248979347060306
"NT5C3A","Cancer_vs_Healthy",-0.464133130628447,0.0633688647730275,0.164431278419666,0.277914318725874
"ANK1","Cancer_vs_Healthy",2.62566958554534,3.0348306650939e-06,0.0004156168837555,3.25018651573474e-15
"KRT19","Cancer_vs_Healthy",0.569560577303047,0.297934836087927,0.452064956080483,0.501741722172385
"ATP5PF","Cancer_vs_Healthy",-0.299918914008821,0.172993544312277,0.317344753559374,0.590841176289204
"EEF1B2","Cancer_vs_Healthy",-0.186425076009268,0.132621353338416,0.264583445599756,0.686172244117894
"RAB5C","Cancer_vs_Healthy",0.325740159065383,0.0932232574502977,0.212965740592589,0.461671083009041
"NDUFA13","Cancer_vs_Healthy",-0.385533556747465,0.209210555394123,0.360099369112972,0.54709428216249
"PSMA5","Cancer_vs_Healthy",0.196813847075191,0.18476195977812,0.332267960527045,0.717231238303113
"CAP2","Cancer_vs_Healthy",-0.359380281983984,0.125002056527197,0.254618546105987,0.473641593543254
"S100A11","Cancer_vs_Healthy",2.09993236592589,0.00018619358848232,0.00386512207815028,1.4695291115189e-08
"NDUFB3","Cancer_vs_Healthy",-0.459989433364822,0.0748731519447312,0.185488220044149,0.303530199935752
"HMGB1","Cancer_vs_Healthy",0.435056390069761,0.00951854548352892,0.0471618467578964,0.131997047752723
"PPP2R1A","Cancer_vs_Healthy",-0.00276802511271868,0.983001660168063,0.990405019951756,0.999952544802647
"EPHX1","Cancer_vs_Healthy",0.417094852015563,0.0964754325830848,0.217725249915715,0.377055645941102
"RHCE","Cancer_vs_Healthy",NA,NA,NA,NA
"SLC2A1","Cancer_vs_Healthy",2.84936394137929,1.58710734990538e-06,0.00031954203110358,2.98824855064388e-17
"PRKAR2A","Cancer_vs_Healthy",-0.539986589709013,0.00157476269534467,0.0156683974751483,0.0306572891481034
"SFXN4","Cancer_vs_Healthy",-0.550417453339303,0.110613159016016,0.23474999442697,0.297642244951022
"UBE2L3","Cancer_vs_Healthy",0.366327328546454,0.103700176430828,0.225981922937044,0.435966512824211
"PCYOX1","Cancer_vs_Healthy",0.217717870141481,0.152995989005286,0.290318630043128,0.664492794509462
"FHL3","Cancer_vs_Healthy",-0.349710159523983,0.366364821595796,0.52418686298436,0.703876091052935
"LMNA","Cancer_vs_Healthy",0.590298061449275,0.148864653915377,0.284949194458051,0.324863171931341
"GARNL3","Cancer_vs_Healthy",NA,NA,NA,NA
"NDUFAB1","Cancer_vs_Healthy",0.102096114717707,0.615896465718057,0.725026431591435,0.951720787341998
"UBE2D1","Cancer_vs_Healthy",-0.551116192288948,0.0765126754565141,0.18819460929447,0.242553416031628
"CST3","Cancer_vs_Healthy",1.08589928581121,0.00245825377029952,0.0202721749276755,0.00146718004728276
"ADSL","Cancer_vs_Healthy",-0.00192982568837508,0.988907245256646,0.992409637082969,0.999978473531466
"CBR1","Cancer_vs_Healthy",0.497298511823974,0.00872021174505763,0.0456484127871713,0.0945860647849925
"PGD","Cancer_vs_Healthy",1.17724864458595,0.00025050801812336,0.00448390350758923,5.76126227284672e-05
"USP14","Cancer_vs_Healthy",0.37439035463505,0.00798750535910169,0.0428372225049373,0.163939260325053
"DPYSL2","Cancer_vs_Healthy",0.939202089093303,0.00168209698309853,0.0162670262461898,0.00248035300204132
"RACK1","Cancer_vs_Healthy",0.107824270154968,0.405813173923198,0.559489048991586,0.907335810963147
"AMPD3","Cancer_vs_Healthy",-0.90293564554004,0.0123849773253381,0.0560307351046583,0.0189673697566026
"ABHD14B","Cancer_vs_Healthy",0.777249502643862,0.00023148150479188,0.00438903514597519,0.00149390196980844
"NAXE","Cancer_vs_Healthy",-0.156083920577657,0.277621897750237,0.43198462830092,0.818713731430982
"BCAT2","Cancer_vs_Healthy",-0.494609394890698,0.0381446328050766,0.117759327941826,0.198775864730792
"TAGLN2","Cancer_vs_Healthy",1.3220536456676,4.27071151335075e-05,0.00172756190015901,1.67219494799979e-06
"RPLP2","Cancer_vs_Healthy",0.372896174152526,0.0771179671441891,0.18910393572628,0.384613541379731
"TWF2","Cancer_vs_Healthy",-0.188423294038497,0.293259857313316,0.44842404331312,0.793629830691675
"PSMA7","Cancer_vs_Healthy",0.212890382271979,0.139534304395565,0.272947688858262,0.65752278865803
"HK1","Cancer_vs_Healthy",-0.343996983724864,0.0101463568109389,0.048670173706655,0.206146847870556
"PSMA4","Cancer_vs_Healthy",-0.0394936392010266,0.780267906988537,0.850174262456288,0.990248773844958
"MYBPC2","Cancer_vs_Healthy",0.91894967140837,0.0868903695525071,0.202901674585827,0.105917651146993
"NDUFA6","Cancer_vs_Healthy",-0.408225678704301,0.145604206378275,0.281516302812906,0.455392743645975
"ANXA11","Cancer_vs_Healthy",0.0443677006845817,0.728861894396017,0.808056833197795,0.986065775161735
"STAC3","Cancer_vs_Healthy",-0.406112067444326,0.0912667973913107,0.209106040074478,0.378242640118866
"NIPSNAP3B","Cancer_vs_Healthy",-0.149473984713975,0.717066573770643,0.798869741828695,0.951502425415159
"AHCY","Cancer_vs_Healthy",0.100645733656496,0.427842201021608,0.580419166231004,0.918100596174715
"NDUFB4","Cancer_vs_Healthy",-0.709575441325516,0.0492214408045722,0.139047928707053,0.118027939656534
"NDUFS3","Cancer_vs_Healthy",-0.362161125333827,0.1243511621774,0.253975910537047,0.470021117064541
"ALDH4A1","Cancer_vs_Healthy",-0.485718684447406,0.0143273528143593,0.0616076171017451,0.127178984711784
